scn,tier,seed,detected,correct,latency,false_alarms,alarm_class
S0,T0,0,0,0,,363,
S0,T0,1,0,0,,325,
S0,T0,2,0,0,,230,
S0,T0,3,0,0,,308,
S0,T0,4,0,0,,227,
S0,T0,5,0,0,,264,
S0,T0,6,0,0,,342,
S0,T0,7,0,0,,266,
S0,T0,8,0,0,,308,
S0,T0,9,0,0,,323,
S0,T0,10,0,0,,304,
S0,T0,11,0,0,,277,
S0,T0,12,0,0,,204,
S0,T0,13,0,0,,297,
S0,T0,14,0,0,,203,
S0,T0,15,0,0,,288,
S0,T0,16,0,0,,282,
S0,T0,17,0,0,,338,
S0,T0,18,0,0,,294,
S0,T0,19,0,0,,264,
S0,T0n,0,0,0,,0,
S0,T0n,1,0,0,,0,
S0,T0n,2,0,0,,0,
S0,T0n,3,0,0,,0,
S0,T0n,4,0,0,,0,
S0,T0n,5,0,0,,0,
S0,T0n,6,0,0,,0,
S0,T0n,7,0,0,,0,
S0,T0n,8,0,0,,0,
S0,T0n,9,0,0,,0,
S0,T0n,10,0,0,,0,
S0,T0n,11,0,0,,0,
S0,T0n,12,0,0,,0,
S0,T0n,13,0,0,,0,
S0,T0n,14,0,0,,0,
S0,T0n,15,0,0,,0,
S0,T0n,16,0,0,,0,
S0,T0n,17,0,0,,0,
S0,T0n,18,0,0,,0,
S0,T0n,19,0,0,,0,
S0,T1,0,0,0,,0,
S0,T1,1,0,0,,0,
S0,T1,2,0,0,,0,
S0,T1,3,0,0,,0,
S0,T1,4,0,0,,0,
S0,T1,5,0,0,,0,
S0,T1,6,0,0,,0,
S0,T1,7,0,0,,0,
S0,T1,8,0,0,,0,
S0,T1,9,0,0,,0,
S0,T1,10,0,0,,0,
S0,T1,11,0,0,,0,
S0,T1,12,0,0,,0,
S0,T1,13,0,0,,0,
S0,T1,14,0,0,,0,
S0,T1,15,0,0,,0,
S0,T1,16,0,0,,0,
S0,T1,17,0,0,,0,
S0,T1,18,0,0,,0,
S0,T1,19,0,0,,0,
S0,T2,0,0,0,,0,
S0,T2,1,0,0,,0,
S0,T2,2,0,0,,0,
S0,T2,3,0,0,,0,
S0,T2,4,0,0,,0,
S0,T2,5,0,0,,0,
S0,T2,6,0,0,,0,
S0,T2,7,0,0,,0,
S0,T2,8,0,0,,0,
S0,T2,9,0,0,,0,
S0,T2,10,0,0,,0,
S0,T2,11,0,0,,0,
S0,T2,12,0,0,,0,
S0,T2,13,0,0,,0,
S0,T2,14,0,0,,0,
S0,T2,15,0,0,,0,
S0,T2,16,0,0,,0,
S0,T2,17,0,0,,0,
S0,T2,18,0,0,,0,
S0,T2,19,0,0,,0,
S0,T3,0,0,0,,0,
S0,T3,1,0,0,,0,
S0,T3,2,0,0,,0,
