scn,tier,det_rate,exact_set_rate,subset_rate,lat_mean,lat_sd,fp_mean
S0,T0,0,0,0,,0.0,285.35
S0,T0n,0,0,0,,0.0,0
S0,T1,0,0,0,,0.0,0
S0,T2,0,0,0,,0.0,0
S0,T3,0,0,0,,0.0,0
S0,T4,0,0,0,,0.0,0
S1,T0,1,1,1,22.6,38.03654752167211,285.35
S1,T0n,1,1,1,0,0.0,0
S1,T1,1,1,1,0,0.0,0
S1,T2,1,1,1,0,0.0,0
S1,T3,1,1,1,0,0.0,0
S1,T4,1,1,1,0,0.0,0
S10,T0,0,0,0,,0.0,285.35
S10,T0n,0,0,0,,0.0,0
S10,T1,1,0,1,0,0.0,0
S10,T2,1,1,1,0,0.0,0
S10,T3,1,1,1,0,0.0,0
S10,T4,1,1,1,0,0.0,0
S11,T0,0,0,0,,0.0,285.35
S11,T0n,0,0,0,,0.0,0
S11,T1,0,0,0,,0.0,0
S11,T2,0,0,0,,0.0,0
S11,T3,1,0,1,0,0.0,0
S11,T4,1,1,1,0,0.0,0
S12,T0,0,0,0,,0.0,285.35
S12,T0n,0,0,0,,0.0,0
S12,T1,0,0,0,,0.0,0
S12,T2,1,1,1,0,0.0,0
S12,T3,1,1,1,0,0.0,0
S12,T4,1,1,1,0,0.0,0
S2,T0,0,0,0,,0.0,285.35
S2,T0n,0,0,0,,0.0,0
S2,T1,0,0,0,,0.0,0
S2,T2,1,1,1,0,0.0,0
S2,T3,1,1,1,0,0.0,0
S2,T4,1,1,1,0,0.0,0
S3,T0,0,0,0,,0.0,285.35
S3,T0n,0,0,0,,0.0,0
S3,T1,1,1,1,0,0.0,0
S3,T2,1,1,1,0,0.0,0
S3,T3,1,1,1,0,0.0,0
S3,T4,1,1,1,0,0.0,0
S4,T0,0,0,0,,0.0,285.35
S4,T0n,0,0,0,,0.0,0
S4,T1,0,0,0,,0.0,0
S4,T2,0,0,0,,0.0,0
S4,T3,1,1,1,0,0.0,0
S4,T4,1,1,1,0,0.0,0
S5,T0,0,0,0,,0.0,285.35
S5,T0n,0,0,0,,0.0,0
S5,T1,0,0,0,,0.0,0
S5,T2,0,0,0,,0.0,0
S5,T3,0,0,0,,0.0,0
S5,T4,1,1,1,0,0.0,0
S6,T0,0,0,0,,0.0,285.35
S6,T0n,0,0,0,,0.0,0
S6,T1,0,0,0,,0.0,0
S6,T2,1,0,1,0,0.0,0
S6,T3,1,1,1,0,0.0,0
S6,T4,1,1,1,0,0.0,0
S7,T0,0,0,0,,0.0,285.35
S7,T0n,0,0,0,,0.0,0
S7,T1,0,0,0,,0.0,0
S7,T2,0,0,0,,0.0,0
S7,T3,0,0,0,,0.0,0
S7,T4,1,1,1,0,0.0,0
S8,T0,0,0,0,,0.0,285.35
S8,T0n,0,0,0,,0.0,0
S8,T1,0,0,0,,0.0,0
S8,T2,0,0,0,,0.0,0
S8,T3,1,1,1,0,0.0,0
S8,T4,1,1,1,0,0.0,0
S9,T0,0,0,0,,0.0,285.35
S9,T0n,0,0,0,,0.0,0
S9,T1,0,0,0,,0.0,0
S9,T2,1,1,1,0,0.0,0
S9,T3,1,1,1,0,0.0,0
S9,T4,1,1,1,0,0.0,0
